,city,Lat,Long,MaxTemp,Humidity
0,Upernavik,72.79,-56.15,269.75,95
1,Punta Arenas,-53.15,-70.92,282.15,54
2,Avarua,-21.21,-159.78,298.15,83
3,Hermanus,-34.42,19.23,282.59,94
4,Hithadhoo,-0.6,73.08,301.16,75
5,Basco,20.45,121.97,302.05,84
6,Ushuaia,-54.8,-68.3,285.15,46
7,Ashcroft,50.72,-121.29,282.15,48
8,Yumen,40.28,97.2,274.76,70
9,Pevek,69.7,170.31,271.9,99
10,Lebu,-37.62,-73.65,283.18,77
11,Mataura,-46.19,168.86,287.59,60
12,Constitución,-35.33,-72.42,286.29,72
13,Hobart,-42.88,147.33,286.48,81
14,Hilo,19.73,-155.09,302.15,51
15,Maceió,-9.67,-35.74,299.15,78
16,New Norfolk,-42.78,147.06,286.48,76
17,Narragansett,41.45,-71.45,292.04,93
18,Tres Picos,15.87,-93.53,303.5,58
19,Nosy Varika,-20.58,48.53,293.83,80
20,Alofi,-19.06,-169.92,297.15,94
21,Solnechnyy,50.72,136.63,278.57,92
22,Slave Lake,55.28,-114.77,266.15,73
23,Mar del Plata,-38.0,-57.56,285.37,54
24,Yellowknife,62.46,-114.35,269.82,79
25,Saint Anthony,45.02,-93.22,275.37,64
26,East London,-33.02,27.91,291.69,80
27,Sekoma,-24.4,23.88,298.08,35
28,Castro,-24.79,-50.01,292.27,80
29,Villazón,-22.09,-65.59,287.29,51
30,Port Alfred,-33.59,26.89,290.67,85
31,Padang,-0.95,100.35,297.22,87
32,São José da Coroa Grande,-8.9,-35.15,298.38,84
33,Smidovich,48.6,133.82,279.21,90
34,Saint Paul Harbor,57.79,-152.41,279.48,63
35,Bluff,-46.6,168.33,287.59,60
36,Norman Wells,65.28,-126.83,268.15,85
37,Narsaq,60.92,-46.05,273.15,90
38,Airai,-8.93,125.41,290.39,68
39,Luwuk,-0.95,122.79,297.92,73
40,Suşehri,40.16,38.09,285.51,60
41,Barrow,71.29,-156.79,274.15,96
42,Blackwater,-23.58,148.88,296.86,71
43,Busselton,-33.65,115.33,283.71,74
44,Saint-Philippe,-21.36,55.77,296.15,69
45,Kitimat,54.05,-128.65,278.71,82
46,Charters Towers,-20.1,146.27,296.77,69
47,Promyshlennovskiy,55.48,86.2,277.15,60
48,Atuona,-9.8,-139.03,298.61,70
49,Mahébourg,-20.41,57.7,297.15,78
50,Saint-Pierre,-21.34,55.48,296.15,69
51,Newport,51.59,-3.0,285.93,98
52,Lüderitz,-26.65,15.16,289.06,70
53,Marsh Harbour,26.54,-77.06,299.98,75
54,Puerto Nariño,-3.77,-70.38,300.15,88
55,George Town,5.41,100.34,299.15,88
56,Cabras,39.93,8.53,289.26,69
57,Millerovo,48.92,40.4,280.08,58
58,Bilma,18.69,12.92,300.25,15
59,Polson,47.69,-114.16,275.37,67
60,Turukhansk,65.82,87.98,267.92,98
61,Saint George,37.1,-113.58,301.48,10
62,Cape Town,-33.93,18.42,287.59,87
63,Yarovoy,52.93,78.58,282.86,47
64,Aksarka,66.56,67.8,265.64,97
65,Kapaa,22.08,-159.32,302.04,74
66,Qaanaaq,77.48,-69.36,266.06,81
67,Rikitea,-23.12,-134.97,296.54,70
68,Puerto Ayora,-0.74,-90.35,298.15,69
69,Bulawayo,-20.15,28.58,290.97,77
70,Los Llanos de Aridane,28.66,-17.92,295.15,60
71,Beroroha,-21.67,45.17,296.24,54
72,Port Hedland,-20.32,118.57,294.15,88
73,Tuktoyaktuk,69.45,-133.04,267.15,79
74,College,64.86,-147.8,269.82,85
75,Province of Trapani,37.83,12.67,293.71,82
76,Bilibino,68.05,166.44,267.01,96
77,Sisimiut,66.94,-53.67,272.57,96
78,Tazovsky,67.47,78.7,265.03,97
79,Tasiilaq,65.61,-37.64,271.15,86
80,Jamestown,42.1,-79.24,287.59,93
81,Ghugus,19.93,79.13,295.48,76
82,Lata,40.16,-8.33,288.15,88
83,Örnsköldsvik,63.29,18.72,275.15,100
84,Rabo de Peixe,37.8,-25.58,289.15,72
85,Makhalino,53.09,46.22,270.89,96
86,Butaritari,3.07,172.79,300.96,73
87,Buala,-8.14,159.59,301.16,74
88,Maniakoi,40.5,21.25,282.15,70
89,Arraial do Cabo,-22.97,-42.03,297.15,83
90,Pithorāgarh,29.58,80.22,283.18,81
91,Mount Gambier,-37.83,140.77,281.15,100
92,Iqaluit,63.75,-68.51,273.15,94
93,Cabo San Lucas,22.89,-109.91,307.15,52
